Student ID,Timestamp,Grade,Please select any of the following that apply to your request:,Drop/Add Course Pair #1 [Drop #1],Drop/Add Course Pair #1 [Add #1],Drop/Add Course Pair #1 [Alternate add #1a],Drop/Add Course Pair #1 [Alternate add #1b],Drop/Add Course Pair #2 [Drop #2],Drop/Add Course Pair #2 [Add #2],Drop/Add Course Pair #2 [Alternate add #2a],Drop/Add Course Pair #2 [Alternate add #2b],Drop/Add Course Pair #3 [Drop #3],Drop/Add Course Pair #3 [Add #3],Drop/Add Course Pair #3 [Alternate add #3a],Drop/Add Course Pair #3 [Alternate add #3b],Drop/Add Course Pair #4 [Drop #4],Drop/Add Course Pair #4 [Add #4],Drop/Add Course Pair #4 [Alternate add #4a],Drop/Add Course Pair #4 [Alternate add #4b],Drop/Add Course Pair #1 [Drop #1],Drop/Add Course Pair #1 [Add #1],Drop/Add Course Pair #1 [Alternate #1a],Drop/Add Course Pair #1 [Alternate #1b],Drop/Add Course Pair #2 [Drop #2],Drop/Add Course Pair #2 [Add #2],Drop/Add Course Pair #2 [Alternate #2a],Drop/Add Course Pair #2 [Alternate #2b],Drop/Add Course Pair #3 [Drop #3],Drop/Add Course Pair #3 [Add #3],Drop/Add Course Pair #3 [Alternate #3a],Drop/Add Course Pair #3 [Alternate #3b]
S137,10/29/2023 17:40:10,11,I have a block conflict (two classes that meet at the same time),SP3652 Navigating in Spanish II,CS4200/MA4200 Cryptography,MA4300 Combinatorics and Game Theory,,"PH3920 Waves Sound, and Optics",PH4120 Physics Core: E&M (Math Intensive) (*M*),"PH3920 Waves Sound, and Optics",,CS4020 Web Development,MA4044 Calculus II with AP Exam Prep,MA4046 Calculus II,MA4110 Foundations of Data Science,MA4046 Calculus II,MA4500 Graph Theory with REX Math,EN4600 Research Experience in the Humanities,MA4046 Calculus II,MU3500 Classical Piano and Guitar,AR4100 Drawing,AR4310 Digital Photography,DR4102 Theater Performance Workshop: Unacting and Movement,,,,,,,,
S159,10/29/2023 19:56:06,11,None of these apply,CS4320 Machine Learning,BI4140 Molecular & Cellular Biol,BI4110 Molecular Genetics (*R*),BI4160 Neuroscience (*R*),MA4300 Combinatorics and Game Theory,MA4230 Complex Systems and Modern Networks,MA4300 Combinatorics and Game Theory,MA4300 Combinatorics and Game Theory,,,,,,,,,,,,,,,,,,,,
S230,10/27/2023 9:46:30,11,None of these apply,EE4180 Environmental Engineering,SP3052 Journeys in Spanish II,BI3700 Evolution,,,,,,,,,,,,,,,,,,,,,,,,,
S160,10/22/2023 23:53:10,11,None of these apply,EN4600 Research Experience in the Humanities,CH4130 Organic Chemistry,CS4320 Machine Learning,BI4140 Molecular & Cellular Biol,PH3500 Physics Core: Mechanics,CS4320 Machine Learning,BI4140 Molecular & Cellular Biol,BI4110 Molecular Genetics (*R*),,,,,,,,,,,,,,,,,,,,
S045,10/25/2023 19:35:15,11,None of these apply,BI3580 Classical Genetics (*M*),BI4010 Anatomy & Physiology,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),EE4520 Biomedical Instrumentation,,,,,,,,,,,,,,,,,,,,,,,,
S533,10/26/2023 11:23:12,12,None of these apply,MA4240 Numerical Analysis,SS4050 AP Psychology,BI4130 Aquatic Ecology (*R*),CH4280 Materials Chemistry (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S535,10/20/2023 13:24:56,12,"I am short scheduled (fewer than 5 core classes), I do not meet the pre-requisite for a class on my schedule",EE4560 Circuits,None - I'm short/over scheduled,,,None - I'm short/over scheduled,HU4480 Topics in American Studies: Asian American Studies,,,,,,,,,,,None,MU4100 Chorale,,,None,AR4520 Advanced Studio Art,,,,,,
S535,10/26/2023 9:52:13,12,None of these apply,EN4212 East Asian Studies II,HU4480 Topics in American Studies: Asian American Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
S536,10/27/2023 12:57:33,12,None of these apply,HU4461 Topics in Humanities II,EN4300 Creative Writing,HU4420 Digital Humanities,,HU4420 Digital Humanities,,,,,,,,,,,,,,,,,,,,,,,
S326,10/29/2023 11:48:29,11,None of these apply,MA4210 Topics in Civic Mathematics,MA4500 Graph Theory with REX Math,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),BI4200 Immunology (*R*),MA4044 Calculus II with AP Exam Prep,MA4046 Calculus II,,,EE4180 Environmental Engineering,CS4270 Fundamentals of Object-Oriented Design,"CS4070/AR4070 Art, Technology, and Computing",PH4150/EE4150 Elements of Satellite Design,PH4180 Astrophysics (*R*),PH4120 Physics Core: E&M (Math Intensive) (*M*),,,,,,,,,,,,,,
S099,10/22/2023 11:16:00,11,None of these apply,EN4600 Research Experience in the Humanities,CS4320 Machine Learning,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),EE4020 Electrical Engineering,,,,,,,,,,,,,,AR4100 Drawing,AR4110 Painting,None,,,,,,,,
S116,10/28/2023 23:49:37,11,None of these apply,EE4180 Environmental Engineering,"CS4070/AR4070 Art, Technology, and Computing",CS4040 Game Design and Simulation,CS4120 Computing for Everyone,BI4010 Anatomy & Physiology,BI3700 Evolution,BI3580 Classical Genetics (*M*),BI4160 Neuroscience (*R*),"PH3920 Waves Sound, and Optics",PH4000 Physics Core: E&M,,,,,,,PA1020 Fit for Life,PA1007 Pilates & Yoga,PA1009 Hiking,,,,,,,,,
S118,10/21/2023 14:23:18,11,None of these apply,MA4046 Calculus II,MA4044 Calculus II with AP Exam Prep,,,,,,,,,,,,,,,,,,,,,,,,,,
S367,10/29/2023 19:08:10,12,None of these apply,MA4500 Graph Theory with REX Math,BI4140 Molecular & Cellular Biol,MA4500 Graph Theory with REX Math,,MA4110 Foundations of Data Science,PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4180 Astrophysics (*R*),MA4110 Foundations of Data Science,,,,,,,,,,,,,,,,,,,,
S123,10/23/2023 14:18:51,11,None of these apply,SP3652 Navigating in Spanish II,BI3700 Evolution,BI4030 Environmental Science (*R*),BI4140 Molecular & Cellular Biol,,,,,,,,,,,,,,AR4110 Painting,AR4100 Drawing,MU3500 Classical Piano and Guitar,,,,,,,,
S112,10/23/2023 13:32:03,11,I've been accepted to a Research program,EN4600 Research Experience in the Humanities,BI4200 Immunology (*R*),BI4010 Anatomy & Physiology,BI4160 Neuroscience (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S151,10/29/2023 22:53:44,11,None of these apply,PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4180 Astrophysics (*R*),PH4150/EE4150 Elements of Satellite Design,,BI3580 Classical Genetics (*M*),SS4070 AP Macroeconomics,BI4110 Molecular Genetics (*R*),SS4050 AP Psychology,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,PA1007 Pilates & Yoga,PA1020 Fit for Life,PA1009 Hiking,,,,,,,,
S250,10/20/2023 12:29:52,11,None of these apply,BI4030 Environmental Science (*R*),CS4320 Machine Learning,MA4110 Foundations of Data Science,EN4300 Creative Writing,,,,,,,,,,,,,PA1020 Fit for Life,PA1005 Weight Trng/Sprts & Fitness,RE1020 Financial Planning,AR4110 Painting,,,,,,,,
S540,10/23/2023 13:11:31,12,None of these apply,BI4110 Molecular Genetics (*R*),CH4120 AP Chemistry (II): Kinetics & Energy,CH4120 AP Chemistry (II): Kinetics & Energy,,"HU4490 Women's, Gender, and Sexuality Studies",EN4470 STEM and the Stage,EN4481 Topics in Literature I,EN4483 Topics in Literature III,PH4120 Physics Core: E&M (Math Intensive) (*M*),"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",PH4000 Physics Core: E&M,PH4180 Astrophysics (*R*),,CH4120 AP Chemistry (II): Kinetics & Energy,,,,,,,,,,,,,,
S541,10/26/2023 14:49:03,12,I do not meet the pre-requisite for a class on my schedule,CN4952 Advanced Readings in Chinese with Topics II,CN4052 Advanced Chinese II,,,SS4070 AP Macroeconomics,SP3652 Navigating in Spanish II,,,,,,,,,,,MU4130 Orchestra,None,,,,,,,,,,
S176,10/22/2023 16:05:04,11,None of these apply,BI3580 Classical Genetics (*M*),"CS4070/AR4070 Art, Technology, and Computing",,,AS4052 American Studies II,BI3580 Classical Genetics (*M*),,,EE4560 Circuits,AS4052 American Studies II,,,,,,,,,,,,,,,,,,
S542,10/24/2023 20:10:18,12,None of these apply,,,,,,,,,,,,,,,,,None,AR4310 Digital Photography,,,,,,,,,,
S064,10/29/2023 18:00:52,11,I have a block conflict (two classes that meet at the same time),PH4000 Physics Core: E&M,PH4120 Physics Core: E&M (Math Intensive) (*M*),,,BI3580 Classical Genetics (*M*),CN3052 Journeys into Chinese II,MA4110 Foundations of Data Science,,EN4600 Research Experience in the Humanities,MA4110 Foundations of Data Science,,,,,,,,,,,,,,,,,,
S229,10/29/2023 21:54:32,11,None of these apply,,,,,,,,,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,None,,,,,,,,,,
S280,10/27/2023 12:34:01,11,None of these apply,SS4050 AP Psychology,MA4060 Multivariable Calculus,EE4020 Electrical Engineering,,,CN4852 AP Chinese Language and Culture II,,,,,,,,,,,MU3500 Classical Piano and Guitar,,,,,,,,,,,
S089,10/25/2023 15:27:47,11,None of these apply,SS4050 AP Psychology,CS4270 Fundamentals of Object-Oriented Design,EE4020 Electrical Engineering,EE4180 Environmental Engineering,,,,,,,,,,,,,,,,,,,,,,,,
S066,10/21/2023 19:46:21,11,I am missing a graduation requirement,EN4600 Research Experience in the Humanities,PH4000 Physics Core: E&M,None - I'm short/over scheduled,None - I'm short/over scheduled,BI4130 Aquatic Ecology (*R*),None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,PA1009 Hiking,None,None,None,None,None,None,None,None,None,None,None
S057,10/26/2023 14:33:47,11,None of these apply,CH3500 Chemistry Core I - Atoms & Molecules,PH4000 Physics Core: E&M,PH4180 Astrophysics (*R*),CH4130 Organic Chemistry,CS4020 Web Development,CN3052 Journeys into Chinese II,CS4040 Game Design and Simulation,EE4100 Introductory Robotics,,,,,None - I'm short/over scheduled,,,,PA1020 Fit for Life,PA1007 Pilates & Yoga,PA1009 Hiking,PA1005 Weight Trng/Sprts & Fitness,None,,,,None,,,
S543,10/28/2023 19:53:41,12,I am short scheduled (fewer than 5 core classes),EN4210 African Studies: Modern Africa,SP4250 Spanish for Heritage Speakers,SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,SS4070 AP Macroeconomics,"PH3920 Waves Sound, and Optics",PH4180 Astrophysics (*R*),PH4000 Physics Core: E&M,PH4120 Physics Core: E&M (Math Intensive) (*M*),None - I'm short/over scheduled,EE4160 Civil Engineering,EN4300 Creative Writing,MA4210 Topics in Civic Mathematics,,,,,,,,,,,,,,,,
S331,10/26/2023 11:10:44,11,None of these apply,EE4520 Biomedical Instrumentation,EE4560 Circuits,,,PH4120 Physics Core: E&M (Math Intensive) (*M*),EN4600 Research Experience in the Humanities,,,,,,,,,,,,,,,,,,,,,,
S252,10/26/2023 19:29:33,11,None of these apply,EN4600 Research Experience in the Humanities,"EE4160 Civil Engineering, MR3080 Mentorship: Foundations in Research",BI4160 Neuroscience (*R*),BI4140 Molecular & Cellular Biol,MA4046 Calculus II,MA4044 Calculus II with AP Exam Prep,,,PH4000 Physics Core: E&M,PH4120 Physics Core: E&M (Math Intensive) (*M*),,,,,,,,,,,,,,,,,,
S275,10/21/2023 18:30:04,11,"I am short scheduled (fewer than 5 core classes), I am missing a graduation requirement",PH4020 Physics Core: Mechanics (Math Intensive) (*M*),"PH3920 Waves Sound, and Optics",CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CS4020 Web Development,SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,"CS4070/AR4070 Art, Technology, and Computing","PH3920 Waves Sound, and Optics",CH4020 AP Chemistry (I): Atoms & Molecules (*M*),,,,,,,,,,,,,,,,,,,,
S186,10/26/2023 21:32:12,11,I have a block conflict (two classes that meet at the same time),EN4600 Research Experience in the Humanities,EE4180 Environmental Engineering,MA4300 Combinatorics and Game Theory,SS4050 AP Psychology,,,,,,,,,,,,,,,,,,,,,,,,
S346,10/29/2023 11:08:11,11,None of these apply,AS4052 American Studies II,CS4120 Computing for Everyone,CS4040 Game Design and Simulation,EE4020 Electrical Engineering,SS4050 AP Psychology,AS4052 American Studies II,CH4130 Organic Chemistry,CS4200/MA4200 Cryptography,EN4600 Research Experience in the Humanities,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),AS4052 American Studies II,CS4200/MA4200 Cryptography,,,,,PA1020 Fit for Life,,,,,,,,,,,
S294,10/29/2023 20:50:23,11,None of these apply,EE4180 Environmental Engineering,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),EE4160 Civil Engineering,SS4050 AP Psychology or art/tech/comp or Neuro,,,,,,,,,,,,,,,,,,,,,,,,
S550,10/29/2023 20:56:03,12,None of these apply,MA4050 Modeling with Differential Equations,HU4440 Film Studies,"HU4300 Whose America? Immigrant Experiences, 1910-present",,,,,,,,,,,,,,,,,,,,,,,,,
S140,10/20/2023 12:57:26,11,None of these apply,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4000 Physics Core: E&M,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),,,,,,,,,,,,,,,,,,,,,,,,
S553,10/29/2023 22:48:13,12,None of these apply,SS4070 AP Macroeconomics,EN4300 Creative Writing,HU4440 Film Studies,,,,,,,,,,,,,,,,,,,,,,,,,
S078,10/23/2023 14:19:56,11,None of these apply,EE4020 Electrical Engineering,BI4160 Neuroscience (*R*),,,,,,,,,,,,,,,,,,,,,,,,,,
S108,10/28/2023 13:41:10,11,I have a block conflict (two classes that meet at the same time),AS4052 American Studies II,AS4052 American Studies II,AS4052 American Studies II,AS4052 American Studies II,,,,,,,,,,,,,,,,,,,,,,,,
S026,10/29/2023 21:28:57,11,None of these apply,PH3500 Physics Core: Mechanics,CH4000 Chemistry Core II - Reactions & Energy,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),BI4200 Immunology (*R*),SS4050 AP Psychology,BI4010 Anatomy & Physiology,BI3580 Classical Genetics (*M*),BI4110 Molecular Genetics (*R*),,,,,,,,,,,,,,,,,,,,
S554,10/22/2023 13:31:06,12,I do not meet the pre-requisite for a class on my schedule,EN4212 East Asian Studies II,SS4050 AP Psychology,HU4400 Black Studies,EN4300 Creative Writing,,,,,,,,,,,,,,,,,,,,,,,,
S248,10/29/2023 22:17:20,11,None of these apply,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),MA4060 Multivariable Calculus,MA4240 Numerical Analysis,MA4500 Graph Theory with REX Math,FR4652 Modern French Readings and Media,EN4600 Research Experience in the Humanities,HU4010 Applications in Entrepreneurship,None - I'm short/over scheduled,None - I'm short/over scheduled,SS4070 AP Macroeconomics,HU4010 Applications in Entrepreneurship,None - I'm short/over scheduled,,,,,,,,,,,,,,,,
S198,10/27/2023 20:03:06,11,I do not meet the pre-requisite for a class on my schedule,BI4160 Neuroscience (*R*),BI4110 Molecular Genetics (*R*),BI4140 Molecular & Cellular Biol,,,,,,,,,,,,,,,,,,,,,,,,,
S557,10/23/2023 12:34:38,12,None of these apply,"HU4490 Women's, Gender, and Sexuality Studies",HU4400 Black Studies,HU4410 Critical Race Theory,,,,,,,,,,,,,,AR4310 Digital Photography,None,,,,,,,,,,
S193,10/28/2023 23:27:01,11,None of these apply,"PH3920 Waves Sound, and Optics",PH4000 Physics Core: E&M,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),"CS4070/AR4070 Art, Technology, and Computing",SS4050 AP Psychology,EN4600 Research Experience in the Humanities,PH4000 Physics Core: E&M,SS4050 AP Psychology,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,PA1007 Pilates & Yoga,PA1009 Hiking,PA1020 Fit for Life,,,,,,,,
S178,10/29/2023 22:49:28,11,None of these apply,CS4270 Fundamentals of Object-Oriented Design,EN4600 Research Experience in the Humanities,MA4110 Foundations of Data Science,SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,,,,,,,,,,,,,,,,,,,,,,,,
S558,10/27/2023 11:21:29,12,None of these apply,MA4210 Topics in Civic Mathematics,,,,BI4200 Immunology (*R*),,BI4130 Aquatic Ecology (*R*),BI4160 Neuroscience (*R*),,,,,,,,,,,,,,,,,,,,
S559,10/27/2023 12:45:54,12,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,BI4010 Anatomy & Physiology,BI4140 Molecular & Cellular Biol,BI4110 Molecular Genetics (*R*),None - I'm short/over scheduled,HU4440 Film Studies,"HU4490 Women's, Gender, and Sexuality Studies",HU4420 Digital Humanities,,,,,,,,,,,,,,,,,,,,
S560,10/29/2023 11:37:14,12,None of these apply,HU4400 Black Studies,"HU4410 Critical Race Theory, HU4411 Critical Legal Studies",HU4400 Black Studies,HU4440 Film Studies,,,,,,,,,,,,,None,,,,None,,,,None,,,
S561,10/28/2023 20:32:29,12,None of these apply,CS4320 Machine Learning,PH4120 Physics Core: E&M (Math Intensive) (*M*),BI4110 Molecular Genetics (*R*),BI4140 Molecular & Cellular Biol,EN4210 African Studies: Modern Africa,EN4481 Topics in Literature I,,,,,,,,,,,,,,,,,,,,,,
S320,10/25/2023 18:21:01,11,None of these apply,JA3052 Journeys into Japanese II,BI4010 Anatomy & Physiology,BI4110 Molecular Genetics (*R*),BI4200 Immunology (*R*),JA3052 Journeys into Japanese II,CH4130 Organic Chemistry,BI4030 Environmental Science (*R*),BI4130 Aquatic Ecology (*R*),JA3052 Journeys into Japanese II,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",BI3700 Evolution,SE4001 Emergency Care,JA3052 Journeys into Japanese II,BI3580 Classical Genetics (*M*),CH4000 Chemistry Core II - Reactions & Energy,HU4440 Film Studies,,,,,,,,,,,,
S566,10/20/2023 14:22:54,12,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,CS4270 Fundamentals of Object-Oriented Design,HU4420 Digital Humanities,EN4300 Creative Writing,,,,,,,,,,,,,,,,,,,,,,,,
S171,10/24/2023 19:45:27,11,None of these apply,BI4010 Anatomy & Physiology,"BI4110 Molecular Genetics (*R*), EN4600 Research Experience in the Humanities",BI4010 Anatomy & Physiology,BI4140 Molecular & Cellular Biol,EE4180 Environmental Engineering,CH4130 Organic Chemistry,CH4280 Materials Chemistry (*R*),,None - I'm short/over scheduled,EN4600 Research Experience in the Humanities,,,,,,,,,,,,,,,,,,
S563,10/25/2023 15:26:02,12,None of these apply,CH4280 Materials Chemistry (*R*),EE4540 Statics,MA4300 Combinatorics and Game Theory,,MA4230 Complex Systems and Modern Networks,MA4300 Combinatorics and Game Theory,BI4030 Environmental Science (*R*),,,,,,,,,,,,,,,,,,,,,
S565,10/26/2023 0:37:10,12,None of these apply,EN4300 Creative Writing,CS4120 Computing for Everyone,,,EN4483 Topics in Literature III,HU4480 Topics in American Studies: Asian American Studies,"HU4490 Women's, Gender, and Sexuality Studies",,,,,,,,,,,MU3500 Classical Piano and Guitar,,,,,,,,,,
S130,10/29/2023 1:16:44,11,None of these apply,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),BI4160 Neuroscience (*R*),BI4140 Molecular & Cellular Biol,BI3700 Evolution,,,,,,,,,,,,,,,,,,,,,,,,
S567,10/29/2023 22:14:06,12,I have a block conflict (two classes that meet at the same time),BI4140 Molecular & Cellular Biol,EE4020 Electrical Engineering,PH4120 Physics Core: E&M (Math Intensive) (*M*),MA4044 Calculus II with AP Exam Prep,,,,,,,,,,,,,,,,,,,,,,,,
S569,10/21/2023 13:34:44,12,None of these apply,CS4270 Fundamentals of Object-Oriented Design,CH4130 Organic Chemistry,BI4160 Neuroscience (*R*),MA4240 Numerical Analysis,CS4200/MA4200 Cryptography,CH4130 Organic Chemistry,PH4180 Astrophysics (*R*),BI4160 Neuroscience (*R*),,,,,,,,,None,AR4310 Digital Photography,MU4310 AP Music Theory,,,,,,,,,
S570,10/29/2023 20:41:42,12,None of these apply,MA4050 Modeling with Differential Equations,MA4210 Topics in Civic Mathematics,,,EN4440 Philosophy and Literature in the Twentieth Century,EN4300 Creative Writing,,,,,,,,,,,,,,,,,,,,,,
S013,10/24/2023 14:01:09,11,None of these apply,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),PH4000 Physics Core: E&M,"PH3920 Waves Sound, and Optics",PH4180 Astrophysics (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S125,10/29/2023 19:41:43,11,None of these apply,EN4600 Research Experience in the Humanities,BI4010 Anatomy & Physiology,BI4140 Molecular & Cellular Biol,BI4110 Molecular Genetics (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S572,10/27/2023 12:04:59,12,None of these apply,MA4046 Calculus II,MA4044 Calculus II with AP Exam Prep,,,MA4110 Foundations of Data Science,MA4310 Topics in Theoretical Mathematics,,,EE4520 Biomedical Instrumentation,PH4180 Astrophysics (*R*),BI4110 Molecular Genetics (*R*),MA4230 Complex Systems and Modern Networks,CH4130 Organic Chemistry,CH4120 AP Chemistry (II): Kinetics & Energy,,,None,,,,None,,,,None,,,
