Student ID,Timestamp,Grade,Please select any of the following that apply to your request:,Drop/Add Course Pair #1 [Drop #1],Drop/Add Course Pair #1 [Add #1],Drop/Add Course Pair #1 [Alternate add #1a],Drop/Add Course Pair #1 [Alternate add #1b],Drop/Add Course Pair #2 [Drop #2],Drop/Add Course Pair #2 [Add #2],Drop/Add Course Pair #2 [Alternate add #2a],Drop/Add Course Pair #2 [Alternate add #2b],Drop/Add Course Pair #3 [Drop #3],Drop/Add Course Pair #3 [Add #3],Drop/Add Course Pair #3 [Alternate add #3a],Drop/Add Course Pair #3 [Alternate add #3b],Drop/Add Course Pair #4 [Drop #4],Drop/Add Course Pair #4 [Add #4],Drop/Add Course Pair #4 [Alternate add #4a],Drop/Add Course Pair #4 [Alternate add #4b],Drop/Add Course Pair #1 [Drop #1],Drop/Add Course Pair #1 [Add #1],Drop/Add Course Pair #1 [Alternate #1a],Drop/Add Course Pair #1 [Alternate #1b],Drop/Add Course Pair #2 [Drop #2],Drop/Add Course Pair #2 [Add #2],Drop/Add Course Pair #2 [Alternate #2a],Drop/Add Course Pair #2 [Alternate #2b],Drop/Add Course Pair #3 [Drop #3],Drop/Add Course Pair #3 [Add #3],Drop/Add Course Pair #3 [Alternate #3a],Drop/Add Course Pair #3 [Alternate #3b]
S336,10/23/2023 11:54:35,11,None of these apply,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),BI4211 AP Biology (II) (*R*),BI4010 Anatomy & Physiology,BI4160 Neuroscience (*R*),,,,,,,,,,,,,PA1020 Fit for Life,None,,,,,,,,,,
S141,10/29/2023 18:24:19,11,"I've been accepted to a Research program, I have a block conflict (two classes that meet at the same time)",LA4050 Caesar in Gaul and Britannia,,,,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),SS4050 AP Psychology,SS4070 AP Macroeconomics,,,,,,,,,,PA1020 Fit for Life,,,,,,,,,,,
S058,10/24/2023 16:33:40,11,"I am short scheduled (fewer than 5 core classes), I've been accepted to a Research program, I have a block conflict (two classes that meet at the same time)",EN4600 Research Experience in the Humanities,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4120 AP Chemistry (II): Kinetics & Energy,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",None - I'm short/over scheduled,PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4000 Physics Core: E&M,PH4120 Physics Core: E&M (Math Intensive) (*M*),,,,,,,,,,,,,,,,,,,,
S231,10/25/2023 13:05:56,11,None of these apply,CH3500 Chemistry Core I - Atoms & Molecules,CS4270 Fundamentals of Object-Oriented Design,,,,,,,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,PA1020 Fit for Life,PA1007 Pilates & Yoga,RE1020 Financial Planning,,,,,,,,
S107,10/25/2023 9:17:59,11,I have a block conflict (two classes that meet at the same time),MA4210 Topics in Civic Mathematics,BI4010 Anatomy & Physiology,BI4030 Environmental Science (*R*),BI4110 Molecular Genetics (*R*),,,,,,,,,,,,,MU3500 Classical Piano and Guitar,None,None,None,,,,,,,,
S379,10/27/2023 14:09:36,12,None of these apply,EN4483 Topics in Literature III,SS4050 AP Psychology,HU4410 Critical Race Theory,HU4480 Topics in American Studies: Asian American Studies,EN4483 Topics in Literature III,SS4050 AP Psychology,HU4410 Critical Race Theory,HU4480 Topics in American Studies: Asian American Studies,,,,,,,,,None,AR4100 Drawing,None,None,,,,,,,,
S266,10/25/2023 0:37:27,11,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,BI4140 Molecular & Cellular Biol,BI4160 Neuroscience (*R*),BI4200 Immunology (*R*),None - I'm short/over scheduled,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4130 Organic Chemistry,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",None - I'm short/over scheduled,PH4000 Physics Core: E&M,"PH3920 Waves Sound, and Optics",PH4150/EE4150 Elements of Satellite Design,None - I'm short/over scheduled,CS4020 Web Development,CS4120 Computing for Everyone,"CS4070/AR4070 Art, Technology, and Computing","PA1007 Pilates & Yoga, RE1022 College and Career Planning",,,,,,,,,,,
S023,10/29/2023 18:41:28,11,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,BI4160 Neuroscience (*R*),EN4300 Creative Writing,EN4600 Research Experience in the Humanities,,,,,,,,,,,,,None,RE1018 Excellence in Leadership,RE1012 Public Speaking,,,,,,,,,
S053,10/29/2023 23:42:59,11,None of these apply,MA4510 Research in Mathematics,MA4060 Multivariable Calculus,MA4300 Combinatorics and Game Theory,MA4210 Topics in Civic Mathematics,SS4050 AP Psychology,EN4600 Research Experience in the Humanities,None - I'm short/over scheduled,None - I'm short/over scheduled,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,PA1020 Fit for Life,,,PA1005 Weight Trng/Sprts & Fitness,PA1020 Fit for Life,None,None,,,,
S308,10/29/2023 20:35:53,11,None of these apply,CH3500 Chemistry Core I - Atoms & Molecules,PH4000 Physics Core: E&M,,,,,,,,,,,,,,,,MA1012 Calculus Ib Exam Prep,,,,,,,,,,
S120,10/26/2023 9:33:21,11,None of these apply,,,,,,,,,,,,,,,,,None,MU4100 Chorale,,,,,,,,,,
S382,10/25/2023 14:24:17,12,None of these apply,"PH3920 Waves Sound, and Optics",CH4130 Organic Chemistry,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",PH4120 Physics Core: E&M (Math Intensive) (*M*),CN3652 Navigating in Chinese + Global Understanding II,CN4052 Advanced Chinese II,,,,,,,,,,,,,,,,,,,,,,
S253,10/29/2023 21:47:23,11,I have a block conflict (two classes that meet at the same time),MA4046 Calculus II,MA4044 Calculus II with AP Exam Prep,,,,,,,,,,,,,,,,,,,,,,,,,,
S384,10/20/2023 10:47:51,12,None of these apply,MA4300 Combinatorics and Game Theory,MA4110 Foundations of Data Science,CS4320 Machine Learning,EE4020 Electrical Engineering,MA4210 Topics in Civic Mathematics,CS4320 Machine Learning,"CS4070/AR4070 Art, Technology, and Computing",EE4180 Environmental Engineering,,,,,,,,,,,,,,,,,,,,
S385,10/29/2023 20:09:23,12,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,CS4320 Machine Learning,EE4020 Electrical Engineering,EE4560 Circuits,,,,,,,,,,,,,,,,,,,,,,,,
S031,10/29/2023 14:56:37,11,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,EE4020 Electrical Engineering,MA4300 Combinatorics and Game Theory,None - I'm short/over scheduled,,,,,,,,,,,,,,,,,,,,,,,,
S209,10/26/2023 21:36:47,11,I have a block conflict (two classes that meet at the same time),None - I'm short/over scheduled,,,,None - I'm short/over scheduled,,,,None - I'm short/over scheduled,,,,None - I'm short/over scheduled,,,,PA1005 Weight Trng/Sprts & Fitness,PA1009 Hiking,PA1007 Pilates & Yoga,None,MU3500 Classical Piano and Guitar,None,None,None,MU4130 Orchestra,None,None,None
S392,10/28/2023 13:20:02,11,None of these apply,,,,,,,,,,,,,,,,,DR4102 Theater Performance Workshop: Unacting and Movement,None,None,None,,,,,,,,
S394,10/20/2023 15:19:08,12,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,BI4160 Neuroscience (*R*),HU4410 Critical Race Theory,EN4300 Creative Writing,,,,,,,,,,,,,,,,,,,,,,,,
S348,10/29/2023 18:05:08,11,None of these apply,CS4200/MA4200 Cryptography,BI4030 Environmental Science (*R*),BI4110 Molecular Genetics (*R*),BI4140 Molecular & Cellular Biol,,,,,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,None,None,None,,,,,,,,
S395,10/29/2023 23:58:09,12,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,EE4020 Electrical Engineering,EE4520 Biomedical Instrumentation,BI4200 Immunology (*R*),BI4130 Aquatic Ecology (*R*),EE4020 Electrical Engineering,EE4520 Biomedical Instrumentation,"BI4010 Anatomy & Physiology, BI4160 Neuroscience (*R*)",,,,,,,,,None,AR4520 Advanced Studio Art,AR4310 Digital Photography,AR4100 Drawing,None,MU4100 Chorale,MU3500 Classical Piano and Guitar,MU4120 Jazz Performance Workshop,,,,
S295,10/24/2023 15:32:42,11,"I've been accepted to a Research program, I have a block conflict (two classes that meet at the same time)",BI4140 Molecular & Cellular Biol,CH4921 Research Chem II (*R*),,,,,,,,,,,,,,,,,,,,,,,,,,
S397,10/25/2023 14:34:43,12,I do not meet the pre-requisite for a class on my schedule,MA4050 Modeling with Differential Equations,MA4044 Calculus II with AP Exam Prep,MA4046 Calculus II,,,,,,,,,,,,,,,,,,,,,,,,,
S319,10/23/2023 11:36:56,11,None of these apply,PH4180 Astrophysics (*R*),PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4000 Physics Core: E&M,,,,,,,,,,,,,,,,,,,,,,,,,
S086,10/29/2023 13:49:53,11,None of these apply,PH4000 Physics Core: E&M,PH4120 Physics Core: E&M (Math Intensive) (*M*),,,CN3052 Journeys into Chinese II,PH4180 Astrophysics (*R*),CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CS4120 Computing for Everyone,,,,,,,,,,RE1020 Financial Planning,,,,,,,,,,
S403,10/29/2023 22:32:41,12,None of these apply,EN4212 East Asian Studies II,EN4300 Creative Writing,EN4470 STEM and the Stage,EN4210 African Studies: Modern Africa,,,,,,,,,,,,,,,,,,,,,,,,
S401,10/29/2023 23:29:30,12,None of these apply,"PH3920 Waves Sound, and Optics",CS4020 Web Development,EE4020 Electrical Engineering,"PH3920 Waves Sound, and Optics",,,,,,,,,,,,,,,,,,,,,,,,
S404,10/27/2023 16:31:00,12,I have a block conflict (two classes that meet at the same time),EE4020 Electrical Engineering,CS4320 Machine Learning,EE4020 Electrical Engineering,MA4230 Complex Systems and Modern Networks,,,,,,,,,,,,,,,,,,,,,,,,
S405,10/23/2023 22:59:52,12,None of these apply,BI4200 Immunology (*R*),BI4160 Neuroscience (*R*),CS4040 Game Design and Simulation,BI4200 Immunology (*R*),CH4120 AP Chemistry (II): Kinetics & Energy,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",CH4280 Materials Chemistry (*R*),CH4120 AP Chemistry (II): Kinetics & Energy,PH4180 Astrophysics (*R*),"PH3920 Waves Sound, and Optics",PH4150/EE4150 Elements of Satellite Design,PH4180 Astrophysics (*R*),MA4044 Calculus II with AP Exam Prep,MA4110 Foundations of Data Science,MA4210 Topics in Civic Mathematics,MA4044 Calculus II with AP Exam Prep,None,AR4520 Advanced Studio Art,AR4520 Advanced Studio Art,AR4520 Advanced Studio Art,None,AR4110 Painting,AR4110 Painting,AR4110 Painting,,,,
S406,10/29/2023 14:53:55,12,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,EN4300 Creative Writing,HU4480 Topics in American Studies: Asian American Studies,"HU4490 Women's, Gender, and Sexuality Studies",CH4130 Organic Chemistry,CH4000 Chemistry Core II - Reactions & Energy,,,,,,,,,,,None,AR4520 Advanced Studio Art,,,,,,,,,,
S409,10/27/2023 0:24:23,12,None of these apply,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",EE4560 Circuits,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",EE4100 Introductory Robotics,,,,,,,,,,,,,,,,,,,,,,,,
S284,10/24/2023 14:26:18,11,None of these apply,CH4000 Chemistry Core II - Reactions & Energy,CH4130 Organic Chemistry,,,,,,,,,,,,,,,PA1020 Fit for Life,None,,,,,,,,,,
S121,10/22/2023 20:25:06,11,None of these apply,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),PH4000 Physics Core: E&M,PH4120 Physics Core: E&M (Math Intensive) (*M*),"PH3920 Waves Sound, and Optics",,,,,,,,,,,,,,,,,,,,,,,,
S412,10/21/2023 19:02:13,12,None of these apply,BI4010 Anatomy & Physiology,SS4070 AP Macroeconomics,EE4160 Civil Engineering,SE4001 Emergency Care,,,,,,,,,,,,,,,,,,,,,,,,
S413,10/28/2023 23:06:54,12,None of these apply,MA4230 Complex Systems and Modern Networks,EE4180 Environmental Engineering,,,BI4010 Anatomy & Physiology,PH4180 Astrophysics (*R*),,,,,,,,,,,,,,,,,,,,,,
S414,10/29/2023 20:49:04,12,None of these apply,CS4320 Machine Learning,PH4120 Physics Core: E&M (Math Intensive) (*M*),BI4200 Immunology (*R*),PH4180 Astrophysics (*R*),EN4470 STEM and the Stage,HU4440 Film Studies,"HU4300 Whose America? Immigrant Experiences, 1910-present",HU4400 Black Studies,,,,,,,,,MU3500 Classical Piano and Guitar,None,,,MU3500 Classical Piano and Guitar,,,,,,,
S415,10/24/2023 14:58:27,12,None of these apply,CS4270 Fundamentals of Object-Oriented Design,EE4560 Circuits,,,CS4200/MA4200 Cryptography,EE4560 Circuits,,,,,,,,,,,,,,,,,,,,,,
S226,10/22/2023 19:58:44,11,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,BI4130 Aquatic Ecology (*R*),BI4200 Immunology (*R*),BI4160 Neuroscience (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S416,10/24/2023 15:42:46,12,None of these apply,EN4481 Topics in Literature I,SS4070 AP Macroeconomics,,,,,,,,,,,,,,,,,,,,,,,,,,
S417,10/23/2023 12:00:59,12,None of these apply,CH4130 Organic Chemistry,CH4120 AP Chemistry (II): Kinetics & Energy,,,,,,,,,,,,,,,,,,,,,,,,,,
S419,10/25/2023 13:46:38,12,None of these apply,"HU4300 Whose America? Immigrant Experiences, 1910-present",SS4070 AP Macroeconomics,HU4440 Film Studies,,None - I'm short/over scheduled,,,,None - I'm short/over scheduled,,,,None - I'm short/over scheduled,,,,MU4120 Jazz Performance Workshop,,,,None,,,,None,,,
S420,10/29/2023 22:44:26,12,None of these apply,BI4200 Immunology (*R*),SS4050 AP Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,
S421,10/20/2023 12:47:32,12,None of these apply,EE4520 Biomedical Instrumentation,SP3652 Navigating in Spanish II,BI4110 Molecular Genetics (*R*),CS4200/MA4200 Cryptography,MA4300 Combinatorics and Game Theory,SP3652 Navigating in Spanish II,MA4060 Multivariable Calculus,,,,,,,,,,,,,,,,,,,,,
S422,10/29/2023 18:08:32,12,None of these apply,CS4020 Web Development,BI4130 Aquatic Ecology (*R*),,,,,,,,,,,,,,,,,,,,,,,,,,
S424,10/20/2023 11:32:51,12,None of these apply,EN4210 African Studies: Modern Africa,HU4411 Critical Legal Studies,HU4411 Critical Legal Studies,HU4411 Critical Legal Studies,,,,,,,,,,,,,,,,,,,,,,,,
S194,10/28/2023 23:30:47,11,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,CS4040 Game Design and Simulation,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None
S426,10/28/2023 20:03:05,12,"I am short scheduled (fewer than 5 core classes), I am missing a graduation requirement",None - I'm short/over scheduled,EN4300 Creative Writing,EN4210 African Studies: Modern Africa,EN4481 Topics in Literature I,,,,,,,,,,,,,,,,,,,,,,,,
S028,10/29/2023 16:15:30,11,I am short scheduled (fewer than 5 core classes),,EE4520 Biomedical Instrumentation,EE4180 Environmental Engineering,EE4160 Civil Engineering,,,,,,,,,,,,,,,,,,,,,,,,
S435,10/29/2023 23:41:56,12,"I am short scheduled (fewer than 5 core classes), None of these apply",HU4461 Topics in Humanities II,EN4481 Topics in Literature I,HU4411 Critical Legal Studies,,None - I'm short/over scheduled,CS4200/MA4200 Cryptography,MA4046 Calculus II,MA4044 Calculus II with AP Exam Prep,,,,,,,,,,,,,,,,,,,,
S434,10/29/2023 21:26:47,12,None of these apply,MA4014 Calculus Ib with AP Exam Prep,MA4016 Calculus Ib,,,,,,,,,,,,,,,,,,,,,,,,,,
S063,10/26/2023 23:27:19,11,I am missing a graduation requirement,BI4140 Molecular & Cellular Biol,PH3500 Physics Core: Mechanics,BI4010 Anatomy & Physiology,,CS4040 Game Design and Simulation,CS4020 Web Development,CS4120 Computing for Everyone,,,,,,,,,,,,,,,,,,,,,
S255,10/23/2023 13:10:45,11,None of these apply,MA4046 Calculus II,MA4044 Calculus II with AP Exam Prep,,,,,,,,,,,,,,,,AR4310 Digital Photography,,,,,,,,,,
S438,10/20/2023 9:53:55,12,None of these apply,MA4044 Calculus II with AP Exam Prep,MA4060 Multivariable Calculus,MA4500 Graph Theory with REX Math,MA4240 Numerical Analysis,PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4180 Astrophysics (*R*),PH4150/EE4150 Elements of Satellite Design,PH4120 Physics Core: E&M (Math Intensive) (*M*),CH4120 AP Chemistry (II): Kinetics & Energy,CH4280 Materials Chemistry (*R*),"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",CH4120 AP Chemistry (II): Kinetics & Energy,BI4140 Molecular & Cellular Biol,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",CH4280 Materials Chemistry (*R*),BI4140 Molecular & Cellular Biol,None,AR4110 Painting,AR4100 Drawing,DR4102 Theater Performance Workshop: Unacting and Movement,,,,,,,,
S440,10/26/2023 0:33:18,12,None of these apply,SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,EN4440 Philosophy and Literature in the Twentieth Century,EN4300 Creative Writing,BI4030 Environmental Science (*R*),SS4050 AP Psychology,BI4030 Environmental Science (*R*),EN4300 Creative Writing,BI4110 Molecular Genetics (*R*),,,,,,,,,,,,,,,,,,,,
S428,10/24/2023 15:29:10,12,None of these apply,,,,,,,,,,,,,,,,,MU4110 Wind Ensemble,,,,,,,,,,,
S197,10/24/2023 17:06:01,11,None of these apply,"PH3920 Waves Sound, and Optics",PH4000 Physics Core: E&M,PH4120 Physics Core: E&M (Math Intensive) (*M*),,,,,,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,PA1009 Hiking,PA1007 Pilates & Yoga,,,,,,,,,
S170,10/20/2023 11:22:49,11,I am short scheduled (fewer than 5 core classes),"None - I'm short/over scheduled, PH4020 Physics Core: Mechanics (Math Intensive) (*M*)",BI4030 Environmental Science (*R*),BI4110 Molecular Genetics (*R*),BI4010 Anatomy & Physiology,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),EN4600 Research Experience in the Humanities,SS4050 AP Psychology,HU4420 Digital Humanities,,,,,,,,,,,,,,,,,,,,
S441,10/30/2023 0:31:47,12,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,HU4440 Film Studies,BI4160 Neuroscience (*R*),CS4200/MA4200 Cryptography,PH4120 Physics Core: E&M (Math Intensive) (*M*),"PH3920 Waves Sound, and Optics",PH4180 Astrophysics (*R*),,,,,,,,,,,,,,,,,,,,,
S442,10/29/2023 14:20:53,12,None of these apply,BI4010 Anatomy & Physiology,EE4560 Circuits,,,,,,,,,,,,,,,,,,,,,,,,,,
S185,10/29/2023 23:57:25,11,None of these apply,MA4044 Calculus II with AP Exam Prep,MA4046 Calculus II,,,,,,,,,,,,,,,,,,,,,,,,,,
S022,10/20/2023 12:38:56,11,None of these apply,None - I'm short/over scheduled,EN4600 Research Experience in the Humanities,SS4050 AP Psychology,,,,,,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,None,,,,,,,,,,
S443,10/27/2023 22:12:06,12,None of these apply,HU4420 Digital Humanities,EN4470 STEM and the Stage,EN4212 East Asian Studies II,,,,,,,,,,,,,,,,,,,,,,,,,
S147,10/23/2023 12:46:43,11,None of these apply,CS4200/MA4200 Cryptography,CS4040 Game Design and Simulation,CS4020 Web Development,EE4020 Electrical Engineering,,,,,,,,,,,,,PA1020 Fit for Life,None,None,None,,,,,,,,
S445,10/27/2023 14:16:30,12,None of these apply,SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,"CS4070/AR4070 Art, Technology, and Computing",,,CN3652 Navigating in Chinese + Global Understanding II,CN4052 Advanced Chinese II,,,,,,,,,,,,MU4310 AP Music Theory,,,,,,,,,,
S447,10/28/2023 19:37:44,12,"I am missing a graduation requirement, I have a block conflict (two classes that meet at the same time)",HU4461 Topics in Humanities II,EN4300 Creative Writing,HU4440 Film Studies,EN4470 STEM and the Stage,PH4150/EE4150 Elements of Satellite Design,MA4050 Modeling with Differential Equations,MA4210 Topics in Civic Mathematics,MA4110 Foundations of Data Science,,,,,,,,,,,,,,,,,,,,
S254,10/22/2023 1:33:49,11,I have a block conflict (two classes that meet at the same time),MA4044 Calculus II with AP Exam Prep,MA4046 Calculus II,,,EE4180 Environmental Engineering,"CS4070/AR4070 Art, Technology, and Computing",CS4020 Web Development,CS4040 Game Design and Simulation,,,,,,,,,PA1020 Fit for Life,None,,,PA1005 Weight Trng/Sprts & Fitness,PA1007 Pilates & Yoga,PA1009 Hiking,,RE1022 College and Career Planning,RE1022 College and Career Planning,,
S299,10/29/2023 17:50:03,11,None of these apply,MA4050 Modeling with Differential Equations,MA4060 Multivariable Calculus,,,,,,,,,,,,,,,,,,,,,,,,,,
S450,10/25/2023 15:10:51,12,None of these apply,MA4230 Complex Systems and Modern Networks,MA4210 Topics in Civic Mathematics,CS4200/MA4200 Cryptography,MA4110 Foundations of Data Science,"HU4300 Whose America? Immigrant Experiences, 1910-present",BI4160 Neuroscience (*R*),BI4200 Immunology (*R*),"HU4410 Critical Race Theory, HU4411 Critical Legal Studies",,,,,,,,,,,,,,,,,,,,
S098,10/27/2023 10:57:31,11,None of these apply,,,,,,,,,,,,,,,,,MU3500 Classical Piano and Guitar,None,None,None,,,,,,,,
S451,10/29/2023 2:29:23,12,None of these apply,CH4120 AP Chemistry (II): Kinetics & Energy,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells","CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells","CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",,,,,,,,,,,,,,MU3500 Classical Piano and Guitar,,,,AR4520 Advanced Studio Art,,,,,,
S330,10/28/2023 23:16:29,11,None of these apply,EE4020 Electrical Engineering,EE4180 Environmental Engineering,EE4180 Environmental Engineering,EE4160 Civil Engineering,,EN4600 Research Experience in the Humanities,EN4600 Research Experience in the Humanities,EN4600 Research Experience in the Humanities,,,,,,,,,,MU3500 Classical Piano and Guitar,MU3500 Classical Piano and Guitar,MU3500 Classical Piano and Guitar,,,,,,,,
